model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01380.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01400.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01420.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01430.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01440.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01470.jpg,1.0,6,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01480.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01490.jpg,1.0,6,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01510.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00030.jpg,1.0,2,3
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00050.jpg,1.0,2,3
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00060.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00070.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00090.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00100.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251123_bbaOqSSC_00110.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00010.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00030.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00040.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00050.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00060.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00090.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00100.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00120.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00130.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00140.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00150.jpg,1.0,8,8
